,lambda_x,lambda_y,sigma_xx [MPa],sigma_yy [MPa]
130,1.1547045396905908,1.0743903948508478,0.11777157330177582,0.11943726174899523
131,1.1578747146842505,1.0759995048892188,0.12468758531690777,0.13253286656721547
132,1.1611716966776566,1.0773610595370715,0.134528618404541,0.13907602822834628
133,1.1643418716713163,1.0789701695754426,0.1444077924761306,0.1513239928418006
134,1.167512046664976,1.0804555019185542,0.15722900195215916,0.15883947229997175
135,1.1706822216586354,1.0819408342616659,0.1682822486388037,0.16921046101818257
136,1.173471975653056,1.0833023889095186,0.18020640728558296,0.1824277926035811
137,1.176388536647223,1.0845401658621117,0.18929386033437182,0.18813732524719362
138,1.179685518640629,1.0860254982052235,0.20043507718620746,0.19950405001267654
139,1.1828556936342884,1.087510830548335,0.21746936381707263,0.2119124578927984
140,1.1861526756276948,1.0889961628914469,0.23265956264942284,0.22426195391018383
141,1.1894496576211007,1.0904814952345587,0.24694932034283854,0.23756621973281408
142,1.1927466396145068,1.0919668275776706,0.2622005238216814,0.2519213350629354
143,1.1959168146081665,1.093452159920782,0.27760151829787283,0.2643734193400487
144,1.1984529546030942,1.094566159178116,0.2929254983318369,0.27676450943458825
145,1.2017499365965,1.096175269216487,0.31049049399543194,0.29125698462654653
146,1.2051737255896524,1.0976606015595989,0.33007151010703106,0.3065914808988854
147,1.2084707075830585,1.0991459339027108,0.3478273571852711,0.3229885253399123
148,1.2117676895764646,1.1007550439410818,0.36667509326046094,0.33751276898928934
149,1.215191478569617,1.1022403762841935,0.38556019598961727,0.35585899036514795
150,1.218488460563023,1.1037257086273053,0.4086262411790342,0.37145422656566934
151,1.2214050215571899,1.105211040970417,0.42462180598427535,0.38895879309830467
152,1.0,1.0,0.000406603236561763,0.00024953212726138487
153,1.0014971927635683,1.0013417906806537,0.002036059999925934,0.002748536418586947
154,1.0029943855271366,1.0029275433032445,0.00040782076340861045,0.00025026264336949327
155,1.0046163443543354,1.0043913149548669,0.0012254407713519582,0.0002506279014235475
156,1.006113537117904,1.0059770675774578,0.0020454451027037165,0.00025102359764877293
157,1.0077354959451028,1.0075628202000486,0.0012292455427483566,0.0002514192938739984
158,1.009232688708671,1.0091485728226395,0.002872500943710132,0.0010911982904299698
159,1.0108546475358702,1.010612344474262,-0.000411016771381585,0.0002521802481532781
160,1.0123518402994385,1.012198097096853,0.001234876604415026,0.0002525759443785035
161,1.0138490330630068,1.0137838497194438,0.0037101086840558915,0.0002529716406037289
162,1.0150966936993138,1.0151256404000977,0.0037146744097315697,0.00025330646048661197
163,1.016593886462882,1.0164674310807513,0.003720153280542383,0.0019445831494994618
164,1.018215845290081,1.0180531837033422,0.00041400985821341826,0.0019476168205595232
165,1.0197130380536494,1.019638936325933,0.0053900420812789465,0.00025443267281994583
166,1.0213349968808483,1.021224688948524,0.003737503038109959,0.0011042562658624088
167,1.0229569557080473,1.0228104415711148,0.005407188917705382,0.0002552240652703967
168,1.0244541484716156,1.0243961941937056,0.004582010097254522,0.001107685633147696
169,1.0260761072988147,1.0259819468162965,0.005423676260423107,0.001962785175859831
170,1.0276980661260136,1.0274457184679189,0.005432249678636324,0.0019655854876075803
171,1.029195258889582,1.0290314710905097,0.004603215356503782,0.0019686191586676415
172,1.0304429195258888,1.0304952427421323,0.003770832835542408,0.0036856972707766016
173,1.0319401122894574,1.031837033422786,0.005454672464732433,0.006265261255135235
174,1.0335620711166562,1.0334227860453769,0.006303745249552672,0.003696168001659489
175,1.0351840299438553,1.0350085386679677,0.004630000947134426,0.005423625530137822
176,1.0368059887710543,1.0365942912905586,0.005480392719372085,0.005431935150867556
177,1.0384279475982532,1.0381800439131497,0.0029555971510074703,0.003713182939344183
178,1.0399251403618217,1.0397657965357405,0.005496880062089811,0.006313404295870996
179,1.0415470991890206,1.0413515491583314,0.004658460637179485,0.004590695122095367
180,1.0431690580162196,1.0429373017809223,0.0038174032374343235,0.0063326615121653
181,1.0447910168434187,1.0445230544035131,0.005522600316729463,0.006342290120312451
182,1.0460386774797255,1.0459868260551355,0.005529195253816553,0.0072212024589375125
